alignment_id,candidate_id,ku_id,external_source,external_id,method,decision,evidence_ref,accessed_date
aln-206,places/palazzo-barberini,units/places/palazzo-barberini,Wikidata,Q1136614,wikimedia,same,REV-034,2026-09-10
aln-207,places/palazzo-doria-pamfili,units/places/palazzo-doria-pamfili,Wikidata,Q385387,wikimedia,same,REV-034,2026-09-10
aln-208,places/pamfili-country-house-valmontone,units/places/pamfili-country-house-valmontone,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-209,places/parma,units/places/parma,Wikidata,Q2683,wikimedia,same,REV-034,2026-09-10
aln-210,places/perugia,units/places/perugia,Wikidata,Q3437,wikimedia,same,REV-034,2026-09-10
aln-211,places/piacenza,units/places/piacenza,Wikidata,Q13329,wikimedia,same,REV-034,2026-09-10
aln-212,places/piazza-di-spagna,units/places/piazza-di-spagna,Wikidata,Q15124814,wikimedia,same,REV-034,2026-09-10
aln-213,places/piazza-navona,units/places/piazza-navona,Wikidata,Q463400,wikimedia,same,REV-034,2026-09-10
aln-214,places/rome,units/places/rome,Wikidata,Q220,wikimedia,same,REV-034,2026-09-10
aln-215,places/san-sebastiano-palatine,units/places/san-sebastiano-palatine,Wikidata,Q787605,wikimedia,same,REV-034,2026-09-10
aln-216,places/sant-agnese-piazza-navona,units/places/sant-agnese-piazza-navona,Wikidata,Q1192577,wikimedia,same,REV-034,2026-09-10
aln-217,places/sant-andrea-della-valle,units/places/sant-andrea-della-valle,Wikidata,Q1631593,wikimedia,same,REV-034,2026-09-10
aln-218,places/sant-antonino-piacenza,units/places/sant-antonino-piacenza,Wikidata,Q1670729,wikimedia,same,REV-034,2026-09-10
aln-219,places/santa-maria-maggiore,units/places/santa-maria-maggiore,Wikidata,Q186282,wikimedia,same,REV-034,2026-09-10
aln-220,places/santa-maria-sopra-minerva,units/places/santa-maria-sopra-minerva,Wikidata,Q823685,wikimedia,same,REV-034,2026-09-10
aln-221,places/sicily,units/places/sicily,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-222,places/spain,units/places/spain,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-223,places/st-peters-basilica,units/places/st-peters-basilica,Wikidata,Q12512,wikimedia,same,REV-034,2026-09-10
aln-224,places/turin,units/places/turin,Wikidata,Q495,wikimedia,same,REV-034,2026-09-10
aln-225,places/valmontone,units/places/valmontone,Wikidata,Q243514,wikimedia,same,REV-034,2026-09-10
aln-226,places/venice,units/places/venice,Wikidata,Q641,wikimedia,same,REV-034,2026-09-10
