reference_id,enrichment_id,ku_id,content_field,cell_index,link_index,link_label,target_type,target_id,resolution_status
ref-3ae390c03977857c,enr-08908,units/archives/roland-michel-chardin-1994,cells,1,0,玛丽安娜·罗兰-米歇尔,entity,units/persons/marianne-roland-michel,resolved_entity
ref-2aa9b00e54607ad7,enr-08911,units/archives/roland-michel-chardin-1994,value,,0,阿赞出版社,entity,units/institutions/hazan,resolved_entity
ref-447d0b2e5df60661,enr-08911,units/archives/roland-michel-chardin-1994,cells,1,0,阿赞出版社,entity,units/institutions/hazan,resolved_entity
ref-ca0ff9b9f7b0af4b,enr-08912,units/archives/roland-michel-chardin-1994,value,,0,巴黎,entity,units/places/paris,resolved_entity
ref-3e977b4a3423375e,enr-08912,units/archives/roland-michel-chardin-1994,cells,1,0,巴黎,entity,units/places/paris,resolved_entity
ref-d7cf59455b1c5b70,enr-08945,units/archives/testi-fontana-bernini-letter,value,,0,罗马（Rome）,entity,units/places/rome,resolved_entity
ref-0e6933307f0a3d0a,enr-08945,units/archives/testi-fontana-bernini-letter,cells,1,0,罗马（Rome）,entity,units/places/rome,resolved_entity
ref-f3d7662e8b5c989a,enr-08946,units/archives/testi-fontana-bernini-letter,value,,0,富尔维奥·泰斯蒂（Fulvio Testi）,entity,units/persons/fulvio-testi,resolved_entity
ref-03f89be238438735,enr-08946,units/archives/testi-fontana-bernini-letter,cells,1,0,富尔维奥·泰斯蒂（Fulvio Testi）,entity,units/persons/fulvio-testi,resolved_entity
ref-e28ab996dc90de17,enr-08947,units/archives/testi-fontana-bernini-letter,value,,0,弗朗切斯科·丰塔纳伯爵（Count Francesco Fontana）,entity,units/persons/francesco-fontana,resolved_entity
ref-bcd9e66c121b083a,enr-08947,units/archives/testi-fontana-bernini-letter,cells,1,0,弗朗切斯科·丰塔纳伯爵（Count Francesco Fontana）,entity,units/persons/francesco-fontana,resolved_entity
ref-a9ca4e8d0965cbb2,enr-08948,units/archives/testi-fontana-bernini-letter,value,,0,吉安·洛伦佐·贝尔尼尼（Gian Lorenzo Bernini）,entity,units/persons/gian-lorenzo-bernini,resolved_entity
ref-5bc27307b0e9ed13,enr-08948,units/archives/testi-fontana-bernini-letter,cells,1,0,吉安·洛伦佐·贝尔尼尼（Gian Lorenzo Bernini）,entity,units/persons/gian-lorenzo-bernini,resolved_entity
ref-7b113f7e4719f743,enr-08965,units/archives/testi-fontana-letter-1634-01-18,value,,0,富尔维奥·泰斯蒂（Fulvio Testi）,entity,units/persons/fulvio-testi,resolved_entity
